subject,Cluster,phase,muscle,n_points,mean_IMF,SD_IMF,CV_IMF
600,0,Warmup,MTL,21,68.55380904586316,14.210510369742595,20.728987298482025
600,0,Warmup,MTR,21,73.74655761153312,16.20629829460016,21.975667501618652
600,0,Warmup,SCML,21,54.309480411594166,20.673370764163195,38.0658599704625
600,0,Warmup,SCMR,21,65.02845680861932,22.13207196716047,34.034441309742
600,0,Warmup,STL,21,82.94105736542582,11.730766743656734,14.143497944537579
600,0,Warmup,UTL,21,70.6499644301703,16.089566151820186,22.773636592164102
600,0,Warmup,UTR,21,71.17400327624708,12.38801252867998,17.40524904942959
601,1,CoolDown,MTL,19,72.71602116738015,26.090465751434003,35.87994135622204
601,1,CoolDown,MTR,19,90.51328051174978,28.580878046314954,31.576446997305318
601,1,CoolDown,SCML,19,163.28195629257482,103.66891102114445,63.49073306997043
601,1,CoolDown,SCMR,19,148.27539146078382,48.13732834672043,32.46481285429746
601,1,CoolDown,STL,19,98.83270943604093,28.366478092690468,28.701508088319372
601,1,CoolDown,STR,19,91.98760968820645,21.068587014772117,22.90372267111239
601,1,CoolDown,UTL,19,77.7182094446438,26.075543031787944,33.55139447771339
601,1,CoolDown,UTR,19,78.0341371253131,29.089252880144592,37.277599204346785
601,1,Warmup,MTL,27,78.9604790133364,23.48518339544898,29.742959628553344
601,1,Warmup,MTR,27,58.1365516527099,20.39997584019387,35.08975895587535
601,1,Warmup,SCML,27,232.2497805985887,65.55713357901283,28.226994837217596
601,1,Warmup,SCMR,27,65.65836171357677,35.41991945111566,53.945786228460776
601,1,Warmup,STL,27,80.51671557765367,21.563251317676414,26.781086589256013
601,1,Warmup,STR,27,73.55070428975726,10.765645984888813,14.637039969701618
601,1,Warmup,UTL,27,58.98877643793127,15.289867821766371,25.91996095707217
601,1,Warmup,UTR,27,53.579001714352145,19.013042863042177,35.485996854527386
602,0,CoolDown,MTL,27,55.87629587837631,17.20256889939859,30.786881322345938
602,0,CoolDown,MTR,27,66.51057765363758,14.834660289879189,22.304212071548374
602,0,CoolDown,SCML,27,103.37855802431692,17.612337070959157,17.036740894389673
602,0,CoolDown,SCMR,27,73.95828022098085,24.297260462107282,32.8526574570274
602,0,CoolDown,STL,27,84.37024251661994,10.807149150358264,12.809195313417979
602,0,CoolDown,STR,27,105.49059308072768,11.089606400992361,10.512412602046833
602,0,CoolDown,UTL,27,74.95871787928068,23.942952865119253,31.94151866855412
602,0,CoolDown,UTR,27,64.76907506326378,18.08593220840216,27.923715431687977
602,0,Warmup,MTL,24,56.81652194053575,18.10182654067824,31.860145468995153
