subject,phase,angle,muscle,r,p,n
subject_541,Warmup,Horizontal,SCMR,0.14595151015995808,0.2617102637171493,61
subject_541,Warmup,Horizontal,STL,0.040730653998127836,0.7552952846236942,61
subject_541,Warmup,Horizontal,STR,0.08485552916276634,0.5155588858768222,61
subject_541,Warmup,Horizontal,UTL,-0.010182663499531959,0.937918860212074,61
subject_541,Warmup,Horizontal,UTR,0.19007638532459656,0.142309324797776,61
subject_560,Cooldown,Sagittal,MTL,-0.29592712643171937,0.020581362688129365,61
subject_560,Cooldown,Sagittal,MTR,0.32710574091905686,0.010078187957581659,61
subject_560,Cooldown,Sagittal,SCML,-0.34474485326742954,0.006512515388771576,61
subject_560,Cooldown,Sagittal,SCMR,0.026000159485980445,0.8423407496137568,61
subject_560,Cooldown,Sagittal,STL,-0.28381709364208735,0.02664887344171097,61
subject_560,Cooldown,Sagittal,STR,-0.08676609239253019,0.5061137761508754,61
subject_560,Cooldown,Sagittal,UTL,-0.5388560024589246,7.46017607331492e-06,61
subject_560,Cooldown,Sagittal,UTR,-0.10769568135634847,0.40872715100351326,61
subject_560,Cooldown,Frontal,MTL,-0.07666381032278712,0.557041407744608,61
subject_560,Cooldown,Frontal,MTR,-0.17950550709725763,0.16628137610017826,61
subject_560,Cooldown,Frontal,SCML,0.47556493720558185,0.00010738251836077463,61
subject_560,Cooldown,Frontal,SCMR,0.1879198277424416,0.14697676252685182,61
subject_560,Cooldown,Frontal,STL,0.5559684455928952,3.2934494665140806e-06,61
subject_560,Cooldown,Frontal,STR,0.49893805010887055,4.2625682065613806e-05,61
subject_560,Cooldown,Frontal,UTL,0.43177930570008755,0.0005117462787619447,61
subject_560,Cooldown,Frontal,UTR,0.06263994258081386,0.6315233422114095,61
subject_560,Cooldown,Horizontal,MTL,0.031176890093680187,0.8114779836663154,61
subject_560,Cooldown,Horizontal,MTR,-0.12340055373480165,0.3433951249091808,61
subject_560,Cooldown,Horizontal,SCML,0.11718430264250344,0.36843510702431365,61
subject_560,Cooldown,Horizontal,SCMR,0.09604904892868958,0.4615160920489987,61
subject_560,Cooldown,Horizontal,STL,0.28604318487790625,0.025432440825978217,61
subject_560,Cooldown,Horizontal,STR,0.1810044805234316,0.16271293331596012,61
subject_560,Cooldown,Horizontal,UTL,0.2116394410347063,0.10155384928936398,61
subject_560,Cooldown,Horizontal,UTR,0.003060308230054497,0.9813253506492794,61
subject_560,Second_threshold,Sagittal,MTL,-0.2039883105442633,0.12121747544496775,59
subject_560,Second_threshold,Sagittal,MTR,-0.11862891631056263,0.3708537418064275,59
subject_560,Second_threshold,Sagittal,SCML,0.026712754952224953,0.8408313489157953,59
subject_560,Second_threshold,Sagittal,SCMR,0.19868623342495803,0.13140890479557135,59
subject_560,Second_threshold,Sagittal,STL,-0.2551068097937483,0.05117810180774947,59
subject_560,Second_threshold,Sagittal,STR,0.0692507935200862,0.6022478765189051,59
subject_560,Second_threshold,Sagittal,UTL,-0.1067295981954806,0.42106968414212614,59
subject_560,Second_threshold,Sagittal,UTR,-0.14951047999018027,0.258389133538347,59
subject_560,Second_threshold,Frontal,MTL,0.24043843436239487,0.06660373976623161,59
subject_560,Second_threshold,Frontal,MTR,0.26410697107833053,0.04325042349275274,59
subject_560,Second_threshold,Frontal,SCML,0.26901017177907427,0.03937538702551853,59
subject_560,Second_threshold,Frontal,SCMR,0.34395044915587303,0.007645847905281736,59
subject_560,Second_threshold,Frontal,STL,0.3397131152169587,0.008479815352712175,59
subject_560,Second_threshold,Frontal,STR,0.39661445668237943,0.001871533601126041,59
subject_560,Second_threshold,Frontal,UTL,0.32197684601550314,0.012888006874964197,59
subject_560,Second_threshold,Frontal,UTR,0.27003923859281054,0.03859966898410719,59
subject_560,Second_threshold,Horizontal,MTL,,,59
subject_560,Second_threshold,Horizontal,MTR,,,59
subject_560,Second_threshold,Horizontal,SCML,,,59
subject_560,Second_threshold,Horizontal,SCMR,,,59
subject_560,Second_threshold,Horizontal,STL,,,59
subject_560,Second_threshold,Horizontal,STR,,,59
subject_560,Second_threshold,Horizontal,UTL,,,59
subject_560,Second_threshold,Horizontal,UTR,,,59
subject_560,Vo2max,Sagittal,MTL,-0.3577614126262606,0.005403424884930752,59
subject_560,Vo2max,Sagittal,MTR,0.17295163455082938,0.1902163822217677,59
subject_560,Vo2max,Sagittal,SCML,-0.2003965131206553,0.1280532143423876,59
subject_560,Vo2max,Sagittal,SCMR,-0.11900930640412256,0.36931066353220526,59
subject_560,Vo2max,Sagittal,STL,-0.02915636320224266,0.8264871811016105,59
subject_560,Vo2max,Sagittal,STR,0.2897604607132732,0.026009831229686923,59
subject_560,Vo2max,Sagittal,UTL,-0.525975902212365,1.8837669655323373e-05,59
subject_560,Vo2max,Sagittal,UTR,-0.25189386322105245,0.05428010492892262,59
subject_560,Vo2max,Frontal,MTL,0.5872529362942706,1.013085780736474e-06,59
subject_560,Vo2max,Frontal,MTR,-0.25856073711273253,0.04800615755531688,59
subject_560,Vo2max,Frontal,SCML,0.598172734415051,5.64041252223656e-07,59
subject_560,Vo2max,Frontal,SCMR,0.4282569102080793,0.0007150684082679276,59
subject_560,Vo2max,Frontal,STL,0.41579955430592463,0.0010560838711430255,59
subject_560,Vo2max,Frontal,STR,-0.27873726065199067,0.0325346811962558,59
subject_560,Vo2max,Frontal,UTL,0.7959528710681522,4.91782868366965e-14,59
subject_560,Vo2max,Frontal,UTR,0.6322186567169097,7.839206522945878e-08,59
subject_560,Vo2max,Horizontal,MTL,0.22365751949221016,0.0885991405023337,59
subject_560,Vo2max,Horizontal,MTR,0.25134845047696,0.054821538029868035,59
subject_560,Vo2max,Horizontal,SCML,0.0042601432284230505,0.9744538921946994,59
subject_560,Vo2max,Horizontal,SCMR,-0.0255608593705383,0.8476112462365025,59
subject_560,Vo2max,Horizontal,STL,0.13419451169532612,0.3109142253344367,59
subject_560,Vo2max,Horizontal,STR,-0.11502386716742236,0.3856705148148435,59
subject_560,Vo2max,Horizontal,UTL,0.12993436846690304,0.32666341617670136,59
subject_560,Vo2max,Horizontal,UTR,-0.08520286456846102,0.5211191927792697,59
subject_560,WanT,Sagittal,MTL,-0.7988758003420108,7.155486699319616e-08,31
subject_560,WanT,Sagittal,MTR,-0.7731382999251069,3.4280950043127235e-07,31
subject_560,WanT,Sagittal,SCML,-0.8655501124456438,3.2806081742931367e-10,31
subject_560,WanT,Sagittal,SCMR,-0.7251084763124592,3.948184489093427e-06,31
subject_560,WanT,Sagittal,STL,-0.8219787534721448,1.4300729056236774e-08,31
subject_560,WanT,Sagittal,STR,-0.7782047370150484,2.5599543611078416e-07,31
subject_560,WanT,Sagittal,UTL,-0.8290717653980634,8.324991055548555e-09,31
subject_560,WanT,Sagittal,UTR,-0.6748494203802373,3.1275691073216374e-05,31
subject_560,WanT,Frontal,MTL,0.49047399990782364,0.00509053433712325,31
subject_560,WanT,Frontal,MTR,0.4412169956435764,0.012969061085931153,31
subject_560,WanT,Frontal,SCML,0.695886187903408,1.3831100908998412e-05,31
subject_560,WanT,Frontal,SCMR,0.7925137579707185,1.0754407231247199e-07,31
subject_560,WanT,Frontal,STL,0.6977726263645919,1.2812495817034621e-05,31
subject_560,WanT,Frontal,STR,0.8203911263415478,1.6089568196999623e-08,31
subject_560,WanT,Frontal,UTL,0.7681996622487922,4.5249479455689957e-07,31
subject_560,WanT,Frontal,UTR,0.8017363460031732,5.9296573227639024e-08,31
subject_560,WanT,Horizontal,MTL,0.7005917529830237,1.1416057890237389e-05,31
