angle,muscle,phase,mean_r,median_r,sd_r,ci_low,ci_high,p,n_subjects,p_bonf,significant
Frontal,UTL,WanT,0.10906769891368166,0.118673220792786,0.3863595112408428,-0.5348304701370514,0.7535960446899782,0.04523388162152127,55,1.0,False
Frontal,UTR,WanT,0.09512760832097866,0.04546102492511686,0.4148761060288666,-0.637763258894276,0.7972911824485136,0.12014998868815907,54,1.0,False
Horizontal,MTL,WanT,-0.06796895617590124,-0.09038481518783026,0.34124704308520865,-0.5589598602660398,0.5485872243425063,0.14874176207376877,50,1.0,False
Horizontal,MTR,WanT,-0.01662689757892748,-0.03187075473973737,0.3530391028402755,-0.6461909704266928,0.6070604494477227,0.7146880425731829,51,1.0,False
Horizontal,SCML,WanT,0.01754779830769554,0.06151028265440299,0.40509698761218293,-0.5904453386865143,0.7115712286655891,0.8130405737621077,51,1.0,False
Horizontal,SCMR,WanT,-0.006718407700524556,0.030050921260126175,0.35708671253019086,-0.5467905942787292,0.5517125496527895,0.8858855663449852,50,1.0,False
Horizontal,STL,WanT,0.002759452902893932,-0.05569323991926413,0.36410622930970293,-0.5646864748348899,0.6995745211761075,0.8256549012430483,51,1.0,False
Horizontal,STR,WanT,0.021543070708776275,0.052530889972654274,0.36540683585547334,-0.5301536205801031,0.6771773242427337,0.7997613193323498,50,1.0,False
Horizontal,UTL,WanT,-0.001950872863151855,0.021650635094610966,0.3850347019853476,-0.7321297504507378,0.6795590972444209,0.9807463639015632,51,1.0,False
Horizontal,UTR,WanT,-0.0038628625052688687,-0.01679987282404798,0.381340443096374,-0.6210590034081189,0.6005297816045035,0.9010445322877215,50,1.0,False
Sagittal,MTL,Cooldown,-0.06179748221381872,-0.08777961527504713,0.2783802009399364,-0.5161858637120993,0.5197432899840977,0.0533247274276916,59,1.0,False
Sagittal,MTR,Cooldown,-0.05167354868779215,-0.0928247700846333,0.24701324284248194,-0.42631055830158904,0.3656646853171841,0.10532840572331335,60,1.0,False
Sagittal,SCML,Cooldown,0.21749633600889826,0.2701060857032047,0.3499649723573714,-0.5209016977994401,0.7603441535084201,4.124136891583934e-05,60,0.004948964269900721,True
Sagittal,SCMR,Cooldown,0.19295714155395574,0.2247146096185286,0.3779866673222186,-0.5628231261709588,0.7429071095766345,0.0005164636738161447,59,0.061975640857937365,False
Sagittal,STL,Cooldown,-0.12778513522842883,-0.2354468501947674,0.3264016971582446,-0.6142469065482137,0.5152854721071211,0.004809943775423358,60,0.5771932530508029,False
Sagittal,STR,Cooldown,-0.05354468378625554,-0.07835189285679763,0.33891530535864267,-0.5793327412206353,0.6218654209299069,0.20477653753388836,59,1.0,False
Sagittal,UTL,Cooldown,0.08284514833675022,0.10885394779267074,0.2956597469549395,-0.4410101034533327,0.5841920999837819,0.05948786601845167,60,1.0,False
Sagittal,UTR,Cooldown,0.034771457238908766,0.0542578464461487,0.30161319800960207,-0.5372490792727618,0.5335632383146204,0.29758757486458787,59,1.0,False
Frontal,MTL,Cooldown,-0.014030027027763226,0.009185315554154416,0.21222679545356543,-0.37984080610171617,0.32131617992670747,0.7177204969655789,57,1.0,False
Frontal,MTR,Cooldown,0.016918485327183756,0.027055445567334843,0.21726184404092536,-0.4787151923877653,0.36434805163437745,0.4596676430852721,58,1.0,False
