pct_center,angle,muscle,mean_r,sd_r,n_subjects,se_r
80,Frontal,UTL,0.06873843902267496,0.2475970368700964,46,0.0365061914542832
80,Frontal,UTR,0.08496072804872158,0.29640566369183724,46,0.04370263087011505
80,Horizontal,MTL,0.003384279855827333,0.18182391554531094,43,0.027727887172936172
80,Horizontal,MTR,0.020378795286938964,0.21271625787077694,44,0.03206818246208413
80,Horizontal,SCML,-0.06191957998957205,0.2287414458049855,44,0.03448407044266141
80,Horizontal,SCMR,-0.05038240459347257,0.2211147364708284,44,0.033334300749638675
80,Horizontal,STL,0.06328523541209524,0.24272940852475927,44,0.036592835166432726
80,Horizontal,STR,0.03146756763406591,0.19724727168322112,43,0.030079926933698077
80,Horizontal,UTL,-0.019488834789738948,0.19816084773752607,44,0.029873871822005488
80,Horizontal,UTR,0.04236557301314065,0.22551397099509987,44,0.03399751030790168
80,Sagittal,MTL,0.016189163093457182,0.24837318681585974,55,0.033490633678161956
80,Sagittal,MTR,-0.032129339153140556,0.2369563808100459,56,0.03166462830718312
80,Sagittal,SCML,0.2117850973026431,0.30758874711472156,56,0.04110327527608357
80,Sagittal,SCMR,0.17435327643330495,0.3063632902523171,55,0.041310017630379704
80,Sagittal,STL,-0.060229780651396454,0.3248485463655691,56,0.04340971296755389
80,Sagittal,STR,0.004777502965251744,0.3204517255052666,55,0.04320970185235187
80,Sagittal,UTL,0.09471255749136301,0.28591175895579773,56,0.03820656588794612
80,Sagittal,UTR,0.07857207699876433,0.31882221436239633,56,0.042604410479881616
90,Frontal,MTL,0.11457459088752525,0.29350714798008826,50,0.04150817893268878
90,Frontal,MTR,0.06835477888083846,0.28599116899286076,50,0.040445258990863944
90,Frontal,SCML,0.11757252958769654,0.3745154453745461,50,0.05296448221668831
90,Frontal,SCMR,0.1026089385820742,0.35315780800261737,49,0.050451115428945335
90,Frontal,STL,0.057175420187835446,0.32360755999913615,50,0.04576502002372434
90,Frontal,STR,-0.032166806057677196,0.2910859905747078,49,0.04158371293924397
90,Frontal,UTL,0.09624417714060625,0.29239932902035903,50,0.04135150967293846
90,Frontal,UTR,0.12097005539991151,0.3141584844104795,50,0.044428718938787665
90,Horizontal,MTL,-0.02674818108761905,0.2514151230406432,48,0.03628864724146456
90,Horizontal,MTR,-0.040018119336161916,0.21689095605335104,49,0.030984422293335864
90,Horizontal,SCML,-0.0888856769686452,0.3006697745162101,49,0.04295282493088715
