subject,angle_plane,rho,p_value,n,x_min,x_max,power_source
subject_617,angle_horizontal,0.9483326481409007,2.9285883237761163e-05,10,150.0,285.0,manual
subject_618,angle_horizontal,0.8266212326392487,0.0009150112679836907,12,210.0,430.0,manual
subject_619,angle_horizontal,0.6123724356957945,0.1438108087116039,7,200.0,320.0,manual
subject_620,angle_horizontal,0.23124864503144013,0.49387285545916265,11,170.0,320.0,manual
subject_621,angle_horizontal,0.8489318669276791,0.00047809471829333825,12,120.0,285.0,manual
subject_623,angle_horizontal,0.5,0.11730680301423817,11,180.0,380.0,manual
subject_624,angle_horizontal,-0.13966030675313615,0.6195972233850777,15,90.0,320.0,manual
subject_625,angle_horizontal,-0.08643445205567338,0.7593832121120151,15,120.0,330.0,manual
subject_626,angle_horizontal,-0.802968683473954,0.0016623310590170872,12,145.0,315.0,file
subject_627,angle_horizontal,-0.2659359417861562,0.4292895008480529,11,117.5,275.0,file
subject_628,angle_horizontal,0.9141792475183746,0.00021374925624336475,10,107.5,250.0,file
subject_629,angle_horizontal,0.6904761904761906,0.05799031816457273,8,100.0,250.0,file
subject_630,angle_horizontal,-0.5210268002259311,0.15033481511359326,9,110.0,280.0,file
subject_631,angle_horizontal,-0.8416254115301731,0.004442222838201251,9,130.0,300.0,file
subject_632,angle_horizontal,-0.17928429140015906,0.644407157896185,9,170.0,340.0,file
